sequence,functional_domain,source_reference,title,source_scope,spec_path
1,provider-management,UC-Clinician-Identity-1,Clinician Registers Identity,Scope - Identity,openspec/specs/provider-management/uc-clinician-identity-1-clinician-registers-identity/spec.md
2,provider-management,UC-Clinician-Identity-2,Clinician Registers Regulatory Agency Identity,Scope - Identity,openspec/specs/provider-management/uc-clinician-identity-2-clinician-registers-regulatory-agency-identity/spec.md
3,provider-management,UC-Clinician-Identity-3,Clinician Registers Industry Body Identity,Scope - Identity,openspec/specs/provider-management/uc-clinician-identity-3-clinician-registers-industry-body-identity/spec.md
4,provider-management,UC-Clinician-Identity-4,Clinician Registers Secondary (and Tertiary) Identity,Scope - Identity,openspec/specs/provider-management/uc-clinician-identity-4-clinician-registers-secondary-and-tertiary-identity/spec.md
5,cross-domain-services,UC-Clinician-Directory-1,View My Provider Profile,Scope - Clinician Profile,openspec/specs/cross-domain-services/uc-clinician-directory-1-view-my-provider-profile/spec.md
6,cross-domain-services,UC-Clinician-Directory-2,Update My Personal Details,Scope - Clinician Profile,openspec/specs/cross-domain-services/uc-clinician-directory-2-update-my-personal-details/spec.md
7,cross-domain-services,UC-Clinician-Directory-3,Update My Professional Biography,Scope - Clinician Profile,openspec/specs/cross-domain-services/uc-clinician-directory-3-update-my-professional-biography/spec.md
8,cross-domain-services,UC-Clinician-Directory-4,Upload My Professional Photograph,Scope - Clinician Profile,openspec/specs/cross-domain-services/uc-clinician-directory-4-upload-my-professional-photograph/spec.md
9,cross-domain-services,UC-Clinician-Directory-30,Receive Notifications of Profile Changes,Scope - Clinician Profile,openspec/specs/cross-domain-services/uc-clinician-directory-30-receive-notifications-of-profile-changes/spec.md
10,cross-domain-services,UC-Clinician-Directory-19,Manage My Directory Visibility,Scope – Clinician Availability and Visibility,openspec/specs/cross-domain-services/uc-clinician-directory-19-manage-my-directory-visibility/spec.md
11,cross-domain-services,UC-Clinician-Directory-20,Publish My Profile,Scope – Clinician Availability and Visibility,openspec/specs/cross-domain-services/uc-clinician-directory-20-publish-my-profile/spec.md
12,cross-domain-services,UC-Clinician-Directory-21,Temporarily Hide My Profile,Scope – Clinician Availability and Visibility,openspec/specs/cross-domain-services/uc-clinician-directory-21-temporarily-hide-my-profile/spec.md
13,governance-quality-and-audit,UC-Clinician-Directory-22,Submit Profile Changes for Verification,Scope – Clinician Verification and Governance,openspec/specs/governance-quality-and-audit/uc-clinician-directory-22-submit-profile-changes-for-verification/spec.md
14,governance-quality-and-audit,UC-Clinician-Directory-23,View Verification Status,Scope – Clinician Verification and Governance,openspec/specs/governance-quality-and-audit/uc-clinician-directory-23-view-verification-status/spec.md
15,governance-quality-and-audit,UC-Clinician-Directory-24,Respond to Verification Requests,Scope – Clinician Verification and Governance,openspec/specs/governance-quality-and-audit/uc-clinician-directory-24-respond-to-verification-requests/spec.md
16,governance-quality-and-audit,UC-Clinician-Directory-25,View Profile Change History,Scope – Clinician Verification and Governance,openspec/specs/governance-quality-and-audit/uc-clinician-directory-25-view-profile-change-history/spec.md
17,provider-management,UC-Clinician-Directory-5,Manage My Qualifications,Scope - Professional Credentials,openspec/specs/provider-management/uc-clinician-directory-5-manage-my-qualifications/spec.md
18,provider-management,UC-Clinician-Directory-6,Manage My Professional Registrations,Scope - Professional Credentials,openspec/specs/provider-management/uc-clinician-directory-6-manage-my-professional-registrations/spec.md
19,provider-management,UC-Clinician-Directory-7,Record My Professional Memberships,Scope - Professional Credentials,openspec/specs/provider-management/uc-clinician-directory-7-record-my-professional-memberships/spec.md
20,provider-management,UC-Clinician-Directory-8,Record My Certifications,Scope - Professional Credentials,openspec/specs/provider-management/uc-clinician-directory-8-record-my-certifications/spec.md
21,provider-management,UC-Clinician-Directory-9,Manage My Areas of Practice,Scope – Clinician Scope of Practice,openspec/specs/provider-management/uc-clinician-directory-9-manage-my-areas-of-practice/spec.md
22,provider-management,UC-Clinician-Directory-10,Manage My Clinical Interests,Scope – Clinician Scope of Practice,openspec/specs/provider-management/uc-clinician-directory-10-manage-my-clinical-interests/spec.md
23,provider-management,UC-Clinician-Directory-11,Record My Languages,Scope – Clinician Scope of Practice,openspec/specs/provider-management/uc-clinician-directory-11-record-my-languages/spec.md
24,provider-management,UC-Clinician-Directory-26,Manage Multiple Practice Locations,Scope – Clinician Scope of Practice,openspec/specs/provider-management/uc-clinician-directory-26-manage-multiple-practice-locations/spec.md
25,provider-management,UC-Clinician-Directory-16,Manage My Contact Information,Scope – Clinician Contact and Referral Information,openspec/specs/provider-management/uc-clinician-directory-16-manage-my-contact-information/spec.md
26,provider-management,UC-Clinician-Directory-17,Manage My Referral Information,Scope – Clinician Contact and Referral Information,openspec/specs/provider-management/uc-clinician-directory-17-manage-my-referral-information/spec.md
27,provider-management,UC-Clinician-Directory-18,Manage Electronic Service Endpoints,Scope – Clinician Contact and Referral Information,openspec/specs/provider-management/uc-clinician-directory-18-manage-electronic-service-endpoints/spec.md
28,provider-management,UC-Clinician-Directory-29,Manage Referral Acceptance Criteria,Scope – Clinician Contact and Referral Information,openspec/specs/provider-management/uc-clinician-directory-29-manage-referral-acceptance-criteria/spec.md
29,patient-identity-management,UC-Clinician-Directory-12,Manage My Organisation Affiliations,Scope - Clinician Relationships / Roles,openspec/specs/patient-identity-management/uc-clinician-directory-12-manage-my-organisation-affiliations/spec.md
30,patient-identity-management,UC-Clinician-Directory-13,Manage My Clinician Roles,Scope - Clinician Relationships / Roles,openspec/specs/patient-identity-management/uc-clinician-directory-13-manage-my-clinician-roles/spec.md
31,patient-identity-management,UC-Clinician-Directory-14,Maintain My Practice Locations,Scope - Clinician Relationships / Roles,openspec/specs/patient-identity-management/uc-clinician-directory-14-maintain-my-practice-locations/spec.md
32,patient-identity-management,UC-Clinician-Directory-15,Manage My Service Availability,Scope - Clinician Relationships / Roles,openspec/specs/patient-identity-management/uc-clinician-directory-15-manage-my-service-availability/spec.md
33,patient-identity-management,UC-Clinician-Directory-27,Manage Multiple Organisation Roles,Scope - Clinician Relationships / Roles,openspec/specs/patient-identity-management/uc-clinician-directory-27-manage-multiple-organisation-roles/spec.md
34,provider-management,UC-Clinician-ParticipantIdentity-1,Clinician Searches for Participant Identity,Scope – Clinician Access/Use to Participant Identity,openspec/specs/provider-management/uc-clinician-participantidentity-1-clinician-searches-for-participant-identity/spec.md
35,provider-management,UC-Clinician-ParticipantIdentity-2,Clinician Searches for Participant Identity using Identifiers,Scope – Clinician Access/Use to Participant Identity,openspec/specs/provider-management/uc-clinician-participantidentity-2-clinician-searches-for-participant-identity-using-identifiers/spec.md
36,consent-and-information-sharing,UC-Clinician-Consent-1,View Participant Consents,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-1-view-participant-consents/spec.md
37,consent-and-information-sharing,UC-Clinician-Consent-2,Request Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-2-request-consent/spec.md
38,consent-and-information-sharing,UC-Clinician-Consent-3,Record Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-3-record-consent/spec.md
39,consent-and-information-sharing,UC-Clinician-Consent-4,Record Refusal of Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-4-record-refusal-of-consent/spec.md
40,consent-and-information-sharing,UC-Clinician-Consent-5,Verify Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-5-verify-consent/spec.md
41,consent-and-information-sharing,UC-Clinician-Consent-6,Confirm Participant Capacity,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-6-confirm-participant-capacity/spec.md
42,consent-and-information-sharing,UC-Clinician-Consent-7,Record Representative Consent,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-7-record-representative-consent/spec.md
43,consent-and-information-sharing,UC-Clinician-Consent-8,Verify Representative Authority,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-8-verify-representative-authority/spec.md
44,consent-and-information-sharing,UC-Clinician-Consent-9,Explain Consent Requirements,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-9-explain-consent-requirements/spec.md
45,consent-and-information-sharing,UC-Clinician-Consent-10,Document Consent Discussions,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-10-document-consent-discussions/spec.md
46,consent-and-information-sharing,UC-Clinician-Consent-11,View Consent History,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-11-view-consent-history/spec.md
47,consent-and-information-sharing,UC-Clinician-Consent-12,Identify Expired Consents,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-12-identify-expired-consents/spec.md
48,consent-and-information-sharing,UC-Clinician-Consent-13,Request Consent Renewal,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-13-request-consent-renewal/spec.md
49,consent-and-information-sharing,UC-Clinician-Consent-14,Respect Consent Restrictions,Scope - Consent – Internal Clinicians,openspec/specs/consent-and-information-sharing/uc-clinician-consent-14-respect-consent-restrictions/spec.md
